subject,label,pred,prob_fad,attn_pos_0,attn_pos_1,attn_pos_2,attn_pos_3,attn_pos_4,attn_pos_5,attn_pos_6,attn_pos_7,attn_pos_8,attn_pos_9,attn_pos_10,attn_pos_11,attn_pos_12,attn_pos_13,attn_pos_14,attn_pos_15,attn_pos_16,attn_pos_17,attn_pos_18,attn_pos_19,attn_pos_20,attn_pos_21,attn_pos_22,attn_pos_23,attn_pos_24,attn_pos_25,attn_pos_26,attn_pos_27,attn_pos_28,attn_pos_29,attn_pos_30,attn_pos_31,attn_pos_32,attn_pos_33,attn_pos_34,attn_pos_35,attn_pos_36,attn_pos_37,attn_pos_38,attn_pos_39,attn_pos_40,attn_pos_41,attn_pos_42,attn_pos_43,attn_pos_44,attn_pos_45,attn_pos_46,attn_pos_47,attn_pos_48,attn_pos_49,attn_pos_50,attn_pos_51,attn_pos_52,attn_pos_53,attn_pos_54,attn_pos_55,attn_pos_56,attn_pos_57,attn_pos_58,attn_pos_59,attn_pos_60,attn_pos_61,attn_pos_62,attn_pos_63,attn_pos_64,attn_pos_65,attn_pos_66,attn_pos_67
MR-0298-t2,0,1,0.9261012077331543,0.0062346928752958775,0.015428011305630207,0.21000494062900543,0.006876776926219463,0.00694053852930665,0.0062309494242072105,0.007129543460905552,0.006256628781557083,0.006689697969704866,0.0066689918749034405,0.006657672114670277,0.03407600149512291,0.008518654853105545,0.005525738000869751,0.010865943506360054,0.0128327626734972,0.006633434910327196,0.005175445228815079,0.006595988757908344,0.004526836797595024,0.003738153725862503,0.00917531456798315,0.005861068610101938,0.014771816320717335,0.009786159731447697,0.008812477812170982,0.009254978969693184,0.009835980832576752,0.007202521897852421,0.007955584675073624,0.006545135751366615,0.007331866770982742,0.0064016906544566154,0.0065047466196119785,0.0064085195772349834,0.006740189157426357,0.006589982658624649,0.00690300902351737,0.006871637888252735,0.007168141659349203,0.007773011922836304,0.006784867960959673,0.006593168247491121,0.006966040004044771,0.0063258204609155655,0.006810370367020369,0.007760387379676104,0.007086863741278648,0.006754370406270027,0.00672331266105175,0.007728331722319126,0.005955096334218979,0.015533741563558578,0.006278201472014189,0.038118887692689896,0.006875514984130859,0.053189560770988464,0.007778484374284744,0.04575400426983833,0.008993140421807766,0.054880086332559586,0.010928393341600895,0.06904555857181549,0.014899231493473053,0.00936153158545494,0.023022916167974472,0.006704474333673716,0.011646348983049393
MR-0298-t1,0,0,0.1256362795829773,0.0021345268469303846,0.004669051617383957,0.07248122990131378,0.0035907025448977947,0.003107968717813492,0.0028079787734895945,0.004607750568538904,0.003160113701596856,0.003697389969602227,0.0034795913379639387,0.005436454899609089,0.042236533015966415,0.00408592214807868,0.0019779843278229237,0.005222557112574577,0.004530266392976046,0.003298527328297496,0.0024794084019958973,0.0030090101063251495,0.0013463998911902308,0.0012745957355946302,0.0017044560518115759,0.004055325873196125,0.007100782822817564,0.009541172534227371,0.01966620795428753,0.2489578276872635,0.13905353844165802,0.0354548878967762,0.00571282347664237,0.0029421248473227024,0.0033318698406219482,0.007060864008963108,0.005511139519512653,0.008107091300189495,0.03688367083668709,0.009298639371991158,0.05759997293353081,0.05197494477033615,0.018037470057606697,0.010980910621583462,0.006512087304145098,0.0032911733724176884,0.004169504623860121,0.004932411015033722,0.0035465757828205824,0.003544208826497197,0.004825828596949577,0.0030724979005753994,0.0030750143341720104,0.0039331852458417416,0.0032402179203927517,0.00482891546562314,0.0029678326100111008,0.00858224369585514,0.0029244243633002043,0.00951405894011259,0.004559942055493593,0.012134095653891563,0.00442396430298686,0.008141417987644672,0.00420835055410862,0.009176294319331646,0.0035784661304205656,0.003996186889708042,0.0067796120420098305,0.0026083176489919424,0.005823454819619656
MR-0276,0,1,0.9151819348335266,0.004266617354005575,0.007584198843687773,0.24876704812049866,0.005315583664923906,0.004975609481334686,0.009517362341284752,0.00677643483504653,0.003941337112337351,0.00659392261877656,0.0052042449824512005,0.008042234927415848,0.26167652010917664,0.013004688546061516,0.0021935305558145046,0.006586926989257336,0.00738291023299098,0.005185098387300968,0.003578793490305543,0.009274272248148918,0.0037319688126444817,0.0031039873138070107,0.0048752096481621265,0.004875897895544767,0.006125650368630886,0.005404436960816383,0.005094180814921856,0.004880371503531933,0.004004606977105141,0.004043751861900091,0.003809927497059107,0.004812211263924837,0.004876469727605581,0.003910931758582592,0.006103185471147299,0.008008841425180435,0.0062307086773216724,0.009118124842643738,0.010100549086928368,0.009219261817634106,0.00887761265039444,0.006510087288916111,0.005499621853232384,0.0053521329537034035,0.005302279256284237,0.0052861361764371395,0.005085002165287733,0.005847216118127108,0.0052950745448470116,0.00622602691873908,0.0053588324226439,0.00681774877011776,0.005163376685231924,0.017767200246453285,0.0054748146794736385,0.025604479014873505,0.006798237096518278,0.025518450886011124,0.007478394545614719,0.017100602388381958,0.008143389597535133,0.014354758895933628,0.008230403065681458,0.01199741568416357,0.009697925299406052,0.006624686531722546,0.011372942477464676,0.0058048684149980545,0.009212660603225231
MR-0294,0,1,0.8595154881477356,0.009547787718474865,0.01676730066537857,0.03737276792526245,0.00764637952670455,0.008892912417650223,0.005346875637769699,0.04160260409116745,0.008687596768140793,0.00693812221288681,0.009376030415296555,0.00906252209097147,0.018991490826010704,0.009220338426530361,0.009837099350988865,0.009028665721416473,0.015034635551273823,0.009797113947570324,0.02032889984548092,0.006903622765094042,0.0024540540762245655,0.009194176644086838,0.0035706553608179092,0.006345381028950214,0.011263652704656124,0.008315050043165684,0.009468651376664639,0.007465240079909563,0.016523586586117744,0.008862979710102081,0.01233105268329382,0.010978501290082932,0.00877243559807539,0.008965300396084785,0.007763771340250969,0.010750174522399902,0.011422124691307545,0.011407224461436272,0.008270615711808205,0.008960787206888199,0.008288057520985603,0.008496126160025597,0.010984701104462147,0.009199791587889194,0.008206094615161419,0.008176611736416817,0.012033606879413128,0.009397338144481182,0.009243487380445004,0.012708078138530254,0.0076842703856527805,0.015785589814186096,0.008090599440038204,0.04219413548707962,0.006817056331783533,0.03698280081152916,0.008039924316108227,0.04376886412501335,0.008523876778781414,0.050345465540885925,0.01102516520768404,0.06393922120332718,0.015763690695166588,0.06787335127592087,0.011180674657225609,0.014532724395394325,0.02129017747938633,0.007496742531657219,0.01846356876194477
MR-0288-t1,0,0,0.06573950499296188,0.0033589976374059916,0.0027735698968172073,0.012947243638336658,0.004231920465826988,0.004194124136120081,0.0040289596654474735,0.005713822785764933,0.004203097894787788,0.004317869897931814,0.00471906503662467,0.008509023115038872,0.18770690262317657,0.007771725300699472,0.0009540640749037266,0.0045623779296875,0.004763971548527479,0.004362018778920174,0.04673812538385391,0.003010358428582549,0.018430659547448158,0.42850878834724426,0.003974444232881069,0.007433997467160225,0.005430303514003754,0.004559544380754232,0.004437066148966551,0.003863729303702712,0.00462143961340189,0.004345371387898922,0.004563968628644943,0.0049341702833771706,0.004447244107723236,0.004149686079472303,0.0043364460580050945,0.00447964807972312,0.00561330933123827,0.006970453541725874,0.006194557994604111,0.005418531596660614,0.004871523939073086,0.004375102464109659,0.0043019200675189495,0.004236533772200346,0.0043608336709439754,0.004148184321820736,0.004275742918252945,0.004491651430726051,0.004253693390637636,0.004555241670459509,0.0043632821179926395,0.004496286623179913,0.003971697296947241,0.006570657715201378,0.0041399989277124405,0.008293180726468563,0.004373230040073395,0.008152271620929241,0.0041968077421188354,0.007957755587995052,0.0036853377241641283,0.007053560111671686,0.003096796339377761,0.0063752057030797005,0.0027214172296226025,0.0036404223646968603,0.006614454090595245,0.0028705105651170015,0.007976114749908447
MR-0293,1,1,0.7700463533401489,0.0077772680670022964,0.01179513894021511,0.0659622997045517,0.008180864155292511,0.009471392259001732,0.005469933617860079,0.014233381487429142,0.0075739226303994656,0.005728057119995356,0.011790060438215733,0.007139174267649651,0.050875015556812286,0.01399556640535593,0.008371309377253056,0.010437888093292713,0.018671048805117607,0.008669912815093994,0.03135928884148598,0.005717705003917217,0.006077144294977188,0.017851252108812332,0.0027716532349586487,0.008945408277213573,0.0046754078939557076,0.009121186099946499,0.01687558926641941,0.05001749098300934,0.06261900812387466,0.005575592629611492,0.009904692880809307,0.008116030134260654,0.009381571784615517,0.008430513553321362,0.008760841563344002,0.009761763736605644,0.010708501562476158,0.007237106095999479,0.010234015993773937,0.009015639312565327,0.007160620763897896,0.009563266299664974,0.007528453134000301,0.008012021891772747,0.007255062460899353,0.007410827558487654,0.008290603756904602,0.008054610341787338,0.007532999850809574,0.007965034805238247,0.006650743540376425,0.013305812142789364,0.006999946665018797,0.019217848777770996,0.008518340066075325,0.019936205819249153,0.0077053760178387165,0.033947255462408066,0.009121464565396309,0.025515440851449966,0.008289987221360207,0.03161752223968506,0.0072571211494505405,0.0683581680059433,0.012234443798661232,0.020489288493990898,0.020846601575613022,0.005285327788442373,0.016629986464977264
MR-0275,1,0,0.39932721853256226,0.002864194568246603,0.0027316980995237827,0.1498558074235916,0.003474739845842123,0.003688849275931716,0.005839713849127293,0.0027779540978372097,0.006407787092030048,0.005400597117841244,0.003933473955839872,0.004736298229545355,0.5465460419654846,0.008683396503329277,0.00106032972689718,0.004886029753834009,0.0037032109685242176,0.0036416524089872837,0.003355368971824646,0.003190215677022934,0.0023313311394304037,0.002220351481810212,0.0028990928549319506,0.0038013607263565063,0.0040217298083007336,0.00424621207639575,0.003725237911567092,0.003298909869045019,0.004626370035111904,0.0037130648270249367,0.0037347516044974327,0.004200774244964123,0.0034412380773574114,0.00361879775300622,0.0037669793237000704,0.0035178253892809153,0.003769496688619256,0.0038843252696096897,0.0036690314300358295,0.0036153432447463274,0.0035268564242869616,0.0034633707255125046,0.0036089099012315273,0.003506425768136978,0.0037519370671361685,0.003533798735588789,0.003718772204592824,0.0033503808081150055,0.003585313679650426,0.0035157878883183002,0.0034375854302197695,0.004592887591570616,0.003430264536291361,0.006485879886895418,0.0035292101092636585,0.007915394380688667,0.004320383071899414,0.009450972080230713,0.004730560816824436,0.011097890324890614,0.004625463858246803,0.011494986712932587,0.006014164537191391,0.011867137625813484,0.006680241785943508,0.007305868901312351,0.008335578255355358,0.003336429363116622,0.006907943170517683
MR-0291,1,1,0.7514087557792664,0.0039701261557638645,0.015200156718492508,0.1396445482969284,0.0057212854735553265,0.005709482356905937,0.004876849241554737,0.008879739791154861,0.005644895602017641,0.00542701780796051,0.008319796063005924,0.006519357208162546,0.05514715611934662,0.007595763076096773,0.004251283593475819,0.007027511019259691,0.01172441802918911,0.005569250322878361,0.010366484522819519,0.004895997233688831,0.005308791063725948,0.12144729495048523,0.005268284119665623,0.008555262349545956,0.00978867057710886,0.004833051469177008,0.018378062173724174,0.04799767583608627,0.048517804592847824,0.00540407607331872,0.006809557788074017,0.006352407857775688,0.00547917140647769,0.005579641554504633,0.005184127017855644,0.005715006031095982,0.00588332349434495,0.005130167119204998,0.005343664437532425,0.005239578429609537,0.006591693963855505,0.00601144740357995,0.006435807794332504,0.006640432868152857,0.006598433014005423,0.00596322538331151,0.007055434864014387,0.006413774564862251,0.00710828835144639,0.006705171894282103,0.005176858976483345,0.007385691627860069,0.005154258571565151,0.029412992298603058,0.00522977439686656,0.02793768420815468,0.006102836225181818,0.03961778059601784,0.006584701593965292,0.03585648536682129,0.0074704731814563274,0.02908000722527504,0.00851413607597351,0.02418423257768154,0.008344162255525589,0.006813369691371918,0.01712840050458908,0.0046125007793307304,0.011163150891661644
MR-0285-t2,1,1,0.9924355149269104,0.008068446069955826,0.018090544268488884,0.5668773651123047,0.004329012241214514,0.004686214029788971,0.00409342534840107,0.005044447723776102,0.004203829448670149,0.0039514279924333096,0.004267743788659573,0.005434704013168812,0.06600881367921829,0.008462835103273392,0.002150453394278884,0.0067065684124827385,0.004376043565571308,0.004475439433008432,0.0039194426499307156,0.0055242907255887985,0.0031984124798327684,0.001935490989126265,0.0027829566970467567,0.0043291668407619,0.005075004883110523,0.00522296316921711,0.00479467585682869,0.004910887684673071,0.0038356948643922806,0.005199500825256109,0.004365758039057255,0.005102404393255711,0.004759271629154682,0.00459408899769187,0.004002305679023266,0.004287114366889,0.004104098305106163,0.004525953438133001,0.004508725367486477,0.0047655231319367886,0.004589666146785021,0.004369167145341635,0.004062327556312084,0.0038127037696540356,0.0039784847758710384,0.0043837083503603935,0.004417742602527142,0.00452821422368288,0.00400087283924222,0.005082875490188599,0.0046493886038661,0.005787364672869444,0.003937012515962124,0.0054794237948954105,0.0045045288279652596,0.012548651546239853,0.004819897934794426,0.011607087217271328,0.005272219888865948,0.010647827759385109,0.00550182955339551,0.010639484040439129,0.005252033472061157,0.010503743775188923,0.00602364307269454,0.007265082560479641,0.010924038477241993,0.003805476473644376,0.010634476318955421
MR-0280-t1,1,1,0.961706817150116,0.002724806312471628,0.01775220036506653,0.4162381589412689,0.006734293885529041,0.006319446489214897,0.005014793481677771,0.005624709650874138,0.004515189211815596,0.005063486751168966,0.006337854545563459,0.004080921411514282,0.06226767599582672,0.006829224526882172,0.0019321456784382463,0.005047362297773361,0.01112921442836523,0.004321049898862839,0.005147140473127365,0.003977523650974035,0.004177442751824856,0.04569241777062416,0.003810684895142913,0.004388062749058008,0.0050758905708789825,0.004476436413824558,0.005551961250603199,0.009833484888076782,0.005487566348165274,0.017188848927617073,0.011651674285531044,0.010650393553078175,0.0049791764467954636,0.00656199362128973,0.006201296579092741,0.004775919485837221,0.00786780659109354,0.009617643430829048,0.007062664721161127,0.008903481997549534,0.005348472855985165,0.007062135264277458,0.0060641951858997345,0.006863793823868036,0.009222502820193768,0.006734795868396759,0.008089619688689709,0.006735239177942276,0.005788540933281183,0.008532484993338585,0.005399486981332302,0.011198708787560463,0.004553017672151327,0.011159420013427734,0.004995245020836592,0.015009565278887749,0.004981182981282473,0.01576935686171055,0.007500181905925274,0.015399297699332237,0.005295730661600828,0.014425884000957012,0.00692384410649538,0.006683471146970987,0.00663168728351593,0.012404628098011017,0.006506471894681454,0.002912661526352167,0.006796319968998432
MR-0306,0,0,0.19188249111175537,0.001383299590088427,0.1384110301733017,0.0032865849789232016,0.0025194904301315546,0.004221729002892971,0.0036903521977365017,0.003473254619166255,0.01221198495477438,0.0028301335405558348,0.0030709984712302685,0.007035564631223679,0.0027275993488729,0.0020654471591115,0.5726104378700256,0.0038993111811578274,0.0030094110406935215,0.004126572981476784,0.004181182477623224,0.005097196903079748,0.0038713766261935234,0.006394979078322649,0.007125459145754576,0.007620637770742178,0.005790565628558397,0.0038347013760358095,0.004930931143462658,0.004335959441959858,0.004566980991512537,0.0036864159628748894,0.0031564757227897644,0.0021028004121035337,0.0034781983122229576,0.002198684262111783,0.003109624842181802,0.0033207470551133156,0.0028796764090657234,0.004284242633730173,0.004649408161640167,0.005848230328410864,0.005094048101454973,0.004733182955533266,0.004983800463378429,0.003953597042709589,0.004172639921307564,0.005609612911939621,0.005575545597821474,0.0036415939684957266,0.0030681034550070763,0.0029810448177158833,0.0029534264467656612,0.003174383193254471,0.0033468652982264757,0.0038597036618739367,0.0037508984096348286,0.0043537188321352005,0.0032135879155248404,0.004485728219151497,0.00334830186329782,0.006474049296230078,0.0037587350234389305,0.008068395778536797,0.003474829951301217,0.009934409521520138,0.0032380451448261738,0.008974074386060238,0.0031863502226769924,0.007092327810823917,0.002461293013766408
MR-0491,0,1,0.6214305758476257,0.00242051319219172,0.11194780468940735,0.005894574802368879,0.004044081550091505,0.014570806175470352,0.008055751211941242,0.0038329120725393295,0.08417756855487823,0.0036311871372163296,0.004279957618564367,0.008165290579199791,0.005703875795006752,0.0034021837636828423,0.05126958712935448,0.00508354464545846,0.004258387256413698,0.009557853452861309,0.011881701648235321,0.010763414204120636,0.03860274329781532,0.025272680446505547,0.01535587664693594,0.022264402359724045,0.019800245761871338,0.011327408254146576,0.01050917711108923,0.013016989454627037,0.011096297763288021,0.006874794140458107,0.006183446850627661,0.0052164699882268906,0.005570369306951761,0.0044411541894078255,0.004489089362323284,0.003664745017886162,0.005687303375452757,0.004812157712876797,0.005094223655760288,0.005706591997295618,0.006029002368450165,0.005975421518087387,0.006416193209588528,0.005456910002976656,0.005845435429364443,0.010845830664038658,0.011676064692437649,0.007762863300740719,0.007017596159130335,0.004266317933797836,0.005122320726513863,0.006976388394832611,0.007943170145154,0.013040770776569843,0.013857989571988583,0.016349952667951584,0.016444459557533264,0.022898128256201744,0.013543296605348587,0.034781910479068756,0.01782921515405178,0.031206024810671806,0.019039692357182503,0.037579141557216644,0.02096353843808174,0.04455403983592987,0.010519029572606087,0.014423674903810024,0.0037084391806274652
MR-0282,0,0,0.38009411096572876,0.0017563080182299018,0.18364351987838745,0.0030667136888951063,0.0030665702652186155,0.0036116025876253843,0.005075693596154451,0.005238768644630909,0.0036798419896513224,0.0029706405475735664,0.003426127601414919,0.0075470763258636,0.002997943665832281,0.002397308824583888,0.4517187178134918,0.004230904392898083,0.003256699303165078,0.004865579307079315,0.0076938956044614315,0.0049208845011889935,0.0037146483082324266,0.011182788759469986,0.01635032333433628,0.01586028002202511,0.009010418318212032,0.006749929394572973,0.006118946708738804,0.004676048178225756,0.006383313797414303,0.004412884823977947,0.004487779922783375,0.0042039742693305016,0.003601138712838292,0.0035940587986260653,0.0034992534201592207,0.003516079857945442,0.003400630783289671,0.003455626079812646,0.003431092482060194,0.0036398940719664097,0.003747456707060337,0.003726526163518429,0.003692228114232421,0.003677986329421401,0.003689822508022189,0.004051736555993557,0.004039048217236996,0.003777759848162532,0.0037766967434436083,0.003745571942999959,0.00391050148755312,0.004086286760866642,0.004288728814572096,0.004725477192550898,0.004394844640046358,0.0050934236496686935,0.004223724361509085,0.006394823081791401,0.004160815849900246,0.009758266620337963,0.004220711998641491,0.013071996159851551,0.004006146918982267,0.015710413455963135,0.003696195315569639,0.01588176004588604,0.0024627286475151777,0.022611552849411964,0.0029228143393993378
MR-0273,0,0,0.18132872879505157,0.000583542394451797,0.2164708524942398,0.0015931634698063135,0.0010696890531107783,0.0013663575518876314,0.0034679435193538666,0.002125358674675226,0.0035099321976304054,0.0010853587882593274,0.0010655410587787628,0.0036008411552757025,0.0006812748033553362,0.0004679787962231785,0.6714509725570679,0.0019095512107014656,0.0012479067081585526,0.0014604652533307672,0.0015686836559325457,0.0019272186327725649,0.0020306548103690147,0.002014657948166132,0.00357508915476501,0.003188238712027669,0.003698100568726659,0.0032259360887110233,0.001712872413918376,0.0015938448486849666,0.0014340364141389728,0.0013335405383259058,0.0013874995056539774,0.0014110977062955499,0.0014126948080956936,0.0013992863241583109,0.0014488055603578687,0.0015000428538769484,0.0014528387691825628,0.001434841426089406,0.0014433986507356167,0.0014924061251804233,0.0014870089944452047,0.0014841408701613545,0.0014404222602024674,0.001427609589882195,0.0014679527375847101,0.0014987575123086572,0.0015239157946780324,0.0014747231034561992,0.0014033461920917034,0.0013992602471262217,0.0014697674196213484,0.001478006481193006,0.0014754129806533456,0.0016321399016305804,0.0013661712873727083,0.0016537542687729,0.0014148998307064176,0.0019537995103746653,0.0014480893732979894,0.0019214213825762272,0.0014008671278133988,0.002129384782165289,0.001387555617839098,0.0022787684574723244,0.001333288848400116,0.0022354016546159983,0.0012820267584174871,0.001523137092590332,0.0011664627818390727
