Subject,Label,P_Intact,P_No_Drift,P_No_Fund,P_No_Harm,Drop_from_Drift,Drop_from_Fund,Drop_from_Harm
MR-0270,WT,0.34825834929943084,0.3469909608364105,0.5133800625801086,0.3619138687849045,-0.0012673884630203247,0.16512171328067776,0.013655519485473666
MR-0273,WT,0.635249388217926,0.6382637977600097,0.5595306277275085,0.6526661157608032,0.0030144095420837624,-0.07571876049041748,0.017416727542877264
MR-0274,5xFAD,0.6258333027362823,0.611051082611084,0.6265038669109344,0.5245790004730224,0.014782220125198364,-0.0006705641746520552,0.10125430226325993
MR-0275,5xFAD,0.6783395290374756,0.6789509296417237,0.6220917105674744,0.6749318361282348,-0.0006114006042480247,0.056247818470001265,0.0034076929092408115
MR-0276,WT,0.6707452058792114,0.6712267160415649,0.5052197098731994,0.7008323788642883,0.00048151016235353783,-0.16552549600601196,0.030087172985076904
MR-0278,5xFAD,0.7645526051521301,0.7657451152801513,0.5082950115203857,0.7170811533927918,-0.0011925101280212402,0.2562575936317444,0.04747145175933831
MR-0280-t1,5xFAD,0.3284648865461349,0.32508437633514403,0.3731399804353714,0.5370515167713166,0.0033805102109908947,-0.04467509388923646,-0.20858663022518165
MR-0280-t2,5xFAD,0.5187954425811767,0.5169572710990906,0.3349032461643219,0.6923996806144714,0.0018381714820860928,0.18389219641685484,-0.17360423803329472
MR-0282,WT,0.33440669178962706,0.33441795110702516,0.19968210011720658,0.5067140161991119,1.1259317398093494e-05,-0.13472459167242049,0.17230732440948487
MR-0283-t2,WT,0.4340453654527664,0.464824378490448,0.4802565336227417,0.5224723041057586,0.030779013037681602,0.04621116816997528,0.08842693865299223
MR-0284,WT,0.5119315445423126,0.5084485888481141,0.35653331875801086,0.5845099508762359,-0.003482955694198542,-0.15539822578430174,0.07257840633392332
MR-0285-t1,5xFAD,0.6340940833091736,0.6243159413337708,0.6394257605075836,0.5762693345546722,0.009778141975402832,-0.00533167719840999,0.05782474875450139
MR-0285-t2,5xFAD,0.621818745136261,0.6199221730232238,0.605622011423111,0.6828486800193787,0.001896572113037176,0.016196733713150002,-0.0610299348831177
MR-0287,5xFAD,0.5378404319286346,0.5400054574012756,0.21974008679389953,0.5872765839099884,-0.002165025472640969,0.31810034513473506,-0.04943615198135376
MR-0288-t1,WT,0.22883670330047606,0.229515877366066,0.13447313643991948,0.32624654322862623,0.000679174065589927,-0.09436356686055658,0.09740983992815017
MR-0288-t2,WT,0.462645822763443,0.4530590295791626,0.2836683690547943,0.5343973875045777,-0.009586793184280407,-0.1789774537086487,0.07175156474113464
MR-0289,WT,0.3217205941677094,0.3223629087209702,0.3159867599606514,0.43084666728973386,0.0006423145532608032,-0.005733834207057975,0.10912607312202449
MR-0290,5xFAD,0.6814141750335694,0.6794481754302979,0.37275946140289307,0.6911203980445861,0.0019659996032714844,0.3086547136306763,-0.009706223011016757
MR-0291,5xFAD,0.6269583106040955,0.6274982452392578,0.5258288621902466,0.5641713738441467,-0.0005399346351623313,0.10112944841384885,0.06278693675994873
MR-0292-t1,5xFAD,0.6904130220413208,0.6942684888839722,0.48131256103515624,0.6443796992301941,-0.003855466842651367,0.20910046100616458,0.04603332281112671
MR-0292-t2,5xFAD,0.6468128085136413,0.6471252679824829,0.6072433531284332,0.5553178191184998,-0.00031245946884161935,0.03956945538520806,0.09149498939514156
MR-0293,5xFAD,0.5113088190555573,0.5132390320301056,0.5274169623851777,0.6027092158794403,-0.0019302129745483176,-0.016108143329620406,-0.09140039682388301
MR-0294,WT,0.6182875990867615,0.6161660194396973,0.5269701242446899,0.6194223284721374,-0.0021215796470641646,-0.09131747484207153,0.0011347293853759544
MR-0296-t1,WT,0.39376734793186186,0.4012496620416641,0.34212074875831605,0.3826465427875519,0.007482314109802268,-0.051646599173545804,-0.011120805144309964
MR-0296-t2,WT,0.6642505764961243,0.6770668745040893,0.41096554398536683,0.6317891120910645,0.012816298007965021,-0.25328503251075746,-0.032461464405059814
MR-0298-t1,WT,0.5076711356639863,0.5163903653621673,0.26604004502296447,0.5729549825191498,0.008719229698181064,-0.24163109064102178,0.06528384685516353
MR-0298-t2,WT,0.7441847562789917,0.7452719688415528,0.5988531768321991,0.6523911356925964,0.0010872125625610574,-0.14533157944679265,-0.09179362058639529
MR-0299-t1,WT,0.5934116005897522,0.5833149313926697,0.33195672929286957,0.6849705696105957,-0.01009666919708252,-0.2614548712968826,0.09155896902084348
MR-0300-t1,WT,0.7405091643333435,0.737088930606842,0.5415268659591674,0.6951570868492126,-0.003420233726501465,-0.19898229837417603,-0.04535207748413084
MR-0300-t2,WT,0.42892956733703613,0.42073271572589876,0.2308414727449417,0.6634228944778442,-0.008196851611137368,-0.19808809459209442,0.23449332714080806
MR-0301-t2,5xFAD,0.7457736492156982,0.7455994009971618,0.3392463445663452,0.6533568382263184,0.00017424821853639916,0.406527304649353,0.09241681098937982
MR-0302-t1,5xFAD,0.7679205417633057,0.7667931914329529,0.5609817802906036,0.6930908560752869,0.0011273503303528276,0.20693876147270207,0.07482968568801884
MR-0302-t2,5xFAD,0.761846399307251,0.7612688064575195,0.5442636787891388,0.7008639454841614,0.0005775928497314675,0.21758272051811212,0.06098245382308953
MR-0303,WT,0.42056667506694795,0.42242240756750105,0.3715635225176811,0.44045430421829224,0.0018557325005530978,-0.04900315254926685,0.019887629151344288
MR-0304-t2,5xFAD,0.6551880717277527,0.6536729514598847,0.30992896407842635,0.6589014172554016,0.001515120267868042,0.3452591076493264,-0.0037133455276489036
MR-0305,5xFAD,0.7511568307876587,0.769752025604248,0.21660494506359101,0.665048348903656,-0.018595194816589333,0.5345518857240676,0.08610848188400266
MR-0306,WT,0.3650929659605026,0.3576690346002579,0.21529118716716766,0.46646913290023806,-0.007423931360244718,-0.14980177879333495,0.10137616693973545
MR-0307-t2,5xFAD,0.7629412531852722,0.7630430221557617,0.4723537862300873,0.6991718173027038,-0.00010176897048952416,0.2905874669551849,0.06376943588256834
MR-0309,WT,0.18715963400900365,0.18568410389125348,0.19801331758499147,0.3186233311891556,-0.0014755301177501734,0.010853683575987816,0.13146369718015194
MR-0310,5xFAD,0.5215303152799606,0.5219078555703163,0.2223869800567627,0.4069767683744431,-0.00037754029035563796,0.2991433352231979,0.11455354690551756
MR-0311,WT,0.5302744030952453,0.5216030538082123,0.18803914375603198,0.6707294821739197,-0.008671349287033059,-0.34223525933921334,0.14045507907867438
MR-0312,5xFAD,0.7381116151809692,0.7372740626335144,0.3162195697426796,0.6900731444358825,0.0008375525474548784,0.4218920454382896,0.048038470745086714
MR-0313,5xFAD,0.7541661620140075,0.7561592578887939,0.512965875864029,0.6986204504966735,-0.0019930958747863547,0.24120028614997857,0.05554571151733401
MR-0447,5xFAD,0.7379907369613647,0.7375497698783875,0.6028414785861969,0.598432743549347,0.0004409670829772505,0.1351492583751679,0.1395579934120178
MR-0474,WT,0.2626192271709442,0.2653874158859253,0.2700636863708496,0.36371656209230424,0.002768188714981079,0.007444459199905384,0.10109733492136003
MR-0491,WT,0.19460443407297134,0.1934857562184334,0.20342983528971673,0.273943392932415,-0.0011186778545379528,0.008825401216745382,0.07933895885944364
